Obsojeni polnoletni in mladoletni po: STATISTIÈNA REGIJA, KAZALNIK ,;;;;;;;;;;;
LETO;;;;;;;;;;;
;;;;;;;;;;;
 ;Število obsojenih polnoletnih in mladoletnih oseb; ; ; ; ; ; ; ; ; ; 
 ;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Pomurska;642;744;712;592;586;549;617;695;561;492;469
Podravska;1459;1560;1797;1851;1670;1608;1701;1998;1654;1398;1251
Koroška;330;303;319;302;302;287;338;396;239;243;166
Savinjska;908;933;901;901;1005;791;872;1280;1110;858;756
Zasavska;138;234;223;208;233;205;184;286;194;130;112
Posavska;348;411;386;259;268;210;305;296;279;265;195
Jugovzhodna Slovenija;692;755;758;767;725;723;809;1184;1014;854;771
Osrednjeslovenska;1810;1859;1840;1488;1526;1569;1547;2746;2060;1810;1561
Gorenjska;704;655;627;468;466;470;601;622;661;506;416
Primorsko-notranjska;180;165;176;150;161;162;146;192;167;161;102
Goriška;291;299;241;220;246;256;269;295;261;233;221
Obalno-kraška;592;467;458;436;411;361;498;623;542;436;362
Tujina;536;759;790;811;824;774;938;1132;987;855;624
